carroceria,color,combustible,fecha,marca,modelo,precio,odometro
Camioneta SUV,Blanco,Gasolina,2010,Chevrolet,Suburban,319000,63000
Mini van (MPV),Blanco,Gasolina,2018,Mercedes Benz,Clase V 250,580000,84000
Camioneta SUV,Negro,Gasolina,2016,Renault,Koleos,169900,78000
Coupé,Negro,Gasolina,2013,Mini,Cooper,229000,95000
Camioneta SUV,Blanco,Gasolina,2019,Mercedes Benz,Clase G,3295000,78000
Pickup,Gris,Gasolina,2020,Nissan,Nissan Pick Up,320000,97000
Camioneta SUV,Plata,Gasolina,2022,Audi,Q2,529000,24384
Pickup,Blanco,Gasolina,2012,Lincoln,MARK LT Pick Up,300000,160000
Camioneta SUV,Blanco,Gasolina,2021,Chevrolet,Traverse,630000,52821
Hatchback (5 Puertas),Gris,Gasolina,2020,Kia,Rio,246000,69711
Camioneta SUV,Blanco,Gasolina,2018,Toyota,RAV4,449000,62899
Camioneta SUV,Gris,Gasolina,2022,MG,Otro Modelo,270000,67005
Camioneta SUV,Blanco,Gasolina,2022,Audi,Q3,680000,38000
Hatchback (5 Puertas),Blanco,Gasolina,2021,Mercedes Benz,GLA 200,645000,42000
Coupé,Blanco,Gasolina,2020,BMW,M240,520000,92000
Coupé,Blanco,Gasolina,2017,Chevrolet,Camaro,499850,72000
Van,Blanco,Gasolina,2015,Renault,Kangoo,175000,70000
Pickup,Blanco,Gasolina,2019,JAC,Frison T6,275000,51000
Sedán,Gris,Gasolina,2017,Volkswagen,Jetta,205000,98922
Camioneta SUV,Blanco,Gasolina,2019,Nissan,Murano,355000,62000
Camioneta SUV,Plata,Gasolina,2021,Ford,Bronco,470000,68234
Camioneta SUV,Blanco,Gasolina,2012,Chevrolet,Traverse,160000,137000
Hatchback (5 Puertas),Gris,Gasolina,2020,Suzuki,Swift,249900,53000
Camioneta SUV,Blanco,Gasolina,2020,BMW,X1 M Sport,595000,17000
Sedán,Blanco,Gasolina,2019,Honda,City EX,260000,100000
Pickup,Blanco,Gasolina,1997,Ford,F-150,65000,257494.4
Camioneta SUV,Blanco,Gasolina,2022,Hyundai,Tucson,454990,68910
Camioneta SUV,Rojo,Gasolina,2017,Mazda,CX-5,290000,88041
Van,Plata,Gasolina,2020,Kia,Sedona EX Pack,399000,56000
Sedán,Blanco,Gasolina,2018,Mercedes Benz,E400,680000,22748
Camioneta SUV,Perla,Gasolina,2018,Nissan,X-TRAIL Advance 7 Pas,325000,115000
Camioneta SUV,Blanco,Gasolina,2018,Porsche,Macan,820000,53500
Camioneta SUV,Blanco,Gasolina,2016,Chevrolet,Suburban,599000,64000
Hatchback (5 Puertas),Blanco,Gasolina,2016,Volkswagen,Golf Highline,266000,25150
Sedán,Blanco,Gasolina,2018,Toyota,Yaris,210000,105000
Hatchback (5 Puertas),Blanco,Gasolina,2017,Volkswagen,Polo Startline,217000,71500
Camioneta SUV,Gris,Gasolina,2019,Toyota,RAV4,429000,88000
Sedán,Blanco,Gasolina,2013,Chevrolet,Malibu,165000,174740
Camioneta SUV,Blanco,Gasolina,2016,Chevrolet,Suburban,480000,190000
Sedán,Gris,Gasolina,2013,Nissan,Altima,96999,130462
Pickup,Rojo,Gasolina,2020,Dodge,Ram 1500,648000,32500
Camioneta SUV,Gris,Gasolina,2021,BMW,X4,905700,59065
Sedán,Gris,Gasolina,2016,Mazda,3,209900,107000
Sedán,Blanco,Gasolina,2023,MG,5 Excite,229800,30000
Camioneta SUV,Blanco,Gasolina,2018,Dodge,Journey,290000,58000
Camioneta SUV,Blanco,Gasolina,2019,BMW,X4,729000,45000
Sedán,Blanco,Gasolina,2016,BMW,320i Sport Line,310000,76401
Hatchback (3 Puertas),Blanco,Gasolina,2017,Audi,A3,359000,46000
Hatchback (5 Puertas),Plata,Gasolina,2017,Nissan,March Advance,179800,58400
Camioneta SUV,Blanco,Gasolina,2022,Ford,Bronco,1100000,28000
Camioneta SUV,Negro,Gasolina,2016,Kia,Sorento,275000,82341
Sedán,Blanco,Gasolina,2023,Nissan,Sentra,337000,26797
Hatchback (5 Puertas),Blanco,Gasolina,2021,Mazda,3,369000,46000
Otro,Gris,Gasolina,2019,Ford,Mustang GT V8,679000,12300
Camioneta SUV,Blanco,Gasolina,2019,Honda,BR-V,298000,51000
Sedán,Blanco,Gasolina,2017,Volkswagen,Jetta GLI,370000,115000
Camioneta SUV,Blanco,Gasolina,2018,Hyundai,Santa Fe,399900,38833
Sedán,Blanco,Gasolina,2021,Kia,Forte,279000,40000
Camioneta Cabina y Media,Blanco,Gasolina,2010,Ford,Super Duty,350000,130000
Camioneta SUV,Azul,Gasolina,2017,Renault,Koleos,308000,104067
Camioneta SUV,Blanco,Gasolina,2017,Chevrolet,Tahoe,600000,44600
Sedán,Blanco,Gasolina,2019,Nissan,Versa,195000,25142
Hatchback (5 Puertas),Blanco,Gasolina,2018,Fiat,Mobi,138500,70000
Camioneta SUV,Blanco,Gasolina,2018,Chevrolet,Trax,223000,50000
Hatchback (5 Puertas),Blanco,Gasolina,2021,Mini,Cooper Countryman,510000,24000
Camioneta SUV,Blanco,Gasolina,2015,Chevrolet,Suburban,499999,123000
Hatchback (5 Puertas),Negro,Gasolina,2012,Peugeot,207,126800,75000
Sedán,Plata,Gasolina,2012,Chrysler,300,170000,125528.52
Camioneta SUV,Blanco,Gasolina,2014,Honda,Pilot,279000,80000
Sedán,Azul,Gasolina,2016,Volkswagen,Jetta,220000,55000
Pickup,Blanco,Gasolina,2020,Chevrolet,Silverado,474900,50000
Camioneta SUV,Blanco,Gasolina,2024,Kia,Seltos,520000,15000
Coupé,Azul,Gasolina,2023,Ford,Mustang,889000,15048
Pickup,Blanco,Gasolina,2015,GMC,Sierra Crew Cab,579000,94000
Camioneta SUV,Verde,Gasolina,2023,Kia,Niro,534000,49680
Sedán,Azul,Gasolina,2017,Volkswagen,Jetta,225000,71000
Hatchback (5 Puertas),Blanco,Gasolina,2020,Chevrolet,Spark LTZ DOT,189000,73000
Van,Azul,Gasolina,2019,Kia,Sedona,389900,66000
Hatchback (5 Puertas),Blanco,Gasolina,2021,Cupra,León,575000,6000
Mini van (MPV),Blanco,Gasolina,2006,Ford,Explorer,175000,120000
Camioneta SUV,Blanco,Gasolina,2017,Ford,Edge Titanium,405000,62000
Hatchback (5 Puertas),Blanco,Gasolina,2022,Toyota,Yaris,302000,20000
Pickup,Blanco,Gasolina,2020,Chevrolet,Silverado,475000,100000
Camioneta SUV,Blanco,Gasolina,2020,Mercedes Benz,GLC 300,670000,50250
Camioneta SUV,Blanco,Gasolina,2018,Mercedes Benz,GLC 300,470000,70000
Camioneta SUV,Negro,Gasolina,2017,Jaguar,F-Pace,699900,58000
Pickup,Azul,Diesel,2017,Volkswagen,Amarok,419900,58000
Coupé,Blanco,Gasolina,2017,Ford,Mustang GT Premium,570000,89000
Hatchback (5 Puertas),Blanco,Gasolina,2015,Nissan,Leaf,215000,79257
Sedán,Blanco,Gasolina,2020,Volkswagen,Vento,239000,55714
Crossover,Rojo,Gasolina,2019,Mazda,CX-3,298000,22000
Hatchback (5 Puertas),Gris,Gasolina,2020,Volkswagen,Golf,359000,122091
Camioneta SUV,Gris,Gasolina,2018,JAC,SEI 3,195000,118000
Pickup,Gris,Gasolina,1997,Ford,Ranger,129000,100000
Mini van (MPV),Blanco,Gasolina,2012,Toyota,Sienna,225000,112000
Camioneta SUV,Rojo,Gasolina,2022,Renault,Captur,295000,37323
Camioneta SUV,Gris,Gasolina,2020,Mercedes Benz,GLA 250,575500,41700
Hatchback (5 Puertas),Blanco,Gasolina,2013,Ford,Focus,148000,86000
Pickup,Blanco,Gasolina,2018,Nissan,NP 300,319900,68000
Sedán,Blanco,Gasolina,2009,BMW,325i,149000,105000
Hatchback (5 Puertas),Blanco,Gasolina,2015,Mazda,2,186000,99000
Camioneta SUV,Blanco,Gasolina,2023,Land Rover,Defender,1950000,15000
Camioneta SUV,Gris,Gasolina,2018,Renault,Captur,229000,80000
Pickup,Blanco,Gasolina,2017,Nissan,Frontier PRO 4X,425000,81000
Sedán,Blanco,Gasolina,2015,Hyundai,Grand i10,149500,86000
Sedán,Blanco,Gasolina,2012,Volkswagen,Jetta,147000,147000
Sedán,Blanco,Gasolina,2019,Nissan,Versa Advance,218500,45000
Sedán,Gris,Gasolina,2012,Audi,A7,198000,87636
Van,Blanco,Gasolina,2019,Peugeot,Expert Tepee,289700,60000
Camioneta SUV,Blanco,Gasolina,2018,Infiniti,QX60,380000,80500
Pickup,Blanco,Gasolina,2020,Chevrolet,Cheyenne,845000,40000
Sedán,Blanco,Gasolina,2017,Chevrolet,Aveo LTZ,130000,90780
Camioneta SUV,Blanco,Gasolina,2023,Cadillac,Escalade,2090000,6500
Camioneta SUV,Negro,Gasolina,2020,BMW,X3,520000,50701
Camioneta SUV,Blanco,Gasolina,2019,BMW,X3,489000,74931
Camioneta SUV,Blanco,Gasolina,2023,Volkswagen,Tiguan,510900,26162
Sedán,Blanco,Gasolina,2018,Volkswagen,Tiguan,365000,116076
Camioneta SUV,Blanco,Gasolina,2020,Chevrolet,Blazer,515000,29500
Camioneta SUV,Blanco,Gasolina,2019,Honda,BR-V Prime,274500,68000
Sedán,Blanco,Gasolina,2019,Mercedes Benz,C 200,480000,45000
Sedán,Blanco,Gasolina,2018,Toyota,Prius,295000,37500
Camioneta SUV,Blanco,Gasolina,2023,Seat,Arona,387000,11500
Camioneta SUV,Gris,Gasolina,2016,Mazda,CX-5,289000,112500
Van,Café,Gasolina,2020,Honda,Odyssey,589000,84550
Sedán,Blanco,Gasolina,2020,Mercedes Benz,Clase A,530000,47000
Camioneta SUV,Gris,Gasolina,2023,Renault,Koleos,440000,69000
Camioneta Cabina Simple,Vino,Gasolina,2017,Ford,Escape Titanium,299800,74800
Camioneta SUV,Blanco,Gasolina,2013,BMW,X3,225000,100000
Sedán,Blanco,Gasolina,2018,Nissan,Versa,177000,73000
Camioneta SUV,Blanco,Gasolina,2012,Toyota,Highlander,260000,131000
Camioneta SUV,Negro,Gasolina,2016,Honda,CR-V,298500,68000
Hatchback (3 Puertas),Blanco,Gasolina,2019,Mini,Chili,380000,29
Camioneta SUV,Blanco,Gasolina,2016,Honda,HR-V,249000,111000
Camioneta SUV,Blanco,Gasolina,2018,Toyota,Highlander,519000,82739
Camioneta SUV,Blanco,Gasolina,2019,Kia,Sorento EX,399900,113000
Camioneta SUV,Blanco,Gasolina,2023,Chevrolet,Captiva Sport,410000,37000
Sedán,Azul,Gasolina,2015,Chevrolet,Aveo,144900,49000
Sedán,Plata,Gasolina,2021,Chevrolet,Onix,260000,52000
Camioneta SUV,Azul,Gasolina,2017,Nissan,Pathfinder,349900,54000
Pickup,Blanco,Gasolina,2014,Dodge,Ram 2500 Pick Up,380000,99000
Camioneta SUV,Blanco,Gasolina,2016,Mazda,CX-9,330000,150000
Pickup,Blanco,Gasolina,2023,Ford,F-150,664900,50000
Sedán,Gris,Gasolina,2015,Dodge,Vision,138000,93922
Sedán,Blanco,Gasolina,2015,BMW,740i,490000,155301
Sedán,Blanco,Gasolina,2018,Toyota,Corolla,245000,83000
Pickup,Blanco,Gasolina,2019,Ford,Ranger,390000,50000
Camioneta SUV,Azul,Gasolina,2017,Jeep,Grand Cherokee,449000,95760
Hatchback (3 Puertas),Blanco,Gasolina,2012,Volkswagen,Beetle Sport,139850,80000
Van de Carga,Blanco,Diesel,2021,Volkswagen,Transporter Cargo Van,459000,82000
Pickup,Blanco,Gasolina,2017,Ford,Lobo King Ranch,600000,128000
Hatchback (5 Puertas),Gris,Gasolina,2018,Fiat,Uno,169900,77957
Sedán,Blanco,Gasolina,2011,Ford,Fusion,129000,217908
Pickup,Gris,Gasolina,2018,Ford,Lobo,698000,52200
Camioneta SUV,Gris,Gasolina,2011,Nissan,Rogue,139000,169000
Sedán,Plata,Gasolina,2023,Nissan,Versa,339000,24305
Hatchback (3 Puertas),Blanco,Gasolina,2016,Audi,A1,279000,53075
Camioneta SUV,Blanco,Gasolina,2017,Lincoln,MKX,349000,50848
Coupé,Azul,Gasolina,2012,Volkswagen,Beetle,229850,82000
Sedán,Gris,Gasolina,2023,Chevrolet,Onix,284000,44646
Hatchback (3 Puertas),Blanco,Gasolina,2017,Mazda,3,248500,49200
Sedán,Gris,Gasolina,2011,Ford,Fiesta,99000,115000
Camioneta SUV,Blanco,Gasolina,2019,Chevrolet,Trax,279000,48000
Camioneta SUV,Blanco,Gasolina,2022,Chevrolet,Captiva,345000,30000
Mini van (MPV),Blanco,Gasolina,2021,Chevrolet,Tahoe,1160000,64200
Pickup,Blanco,Gasolina,2012,Dodge,Ram 2500 Pick Up,215000,179000
Crossover,Blanco,Gasolina,2019,Mazda,CX-3,290000,67259
Convertible,Blanco,Gasolina,2018,Fiat,500,199500,69000
Pickup,Blanco,Gasolina,2017,Toyota,Hilux,319000,92500
Sedán,Negro,Gasolina,2020,Ford,Figo Sedán,210000,93600
Van,Blanco,Gasolina,2023,Nissan,Urvan,665000,18000
Sedán,Blanco,Gasolina,2017,Renault,Fluence,169900,88000
Camioneta SUV,Gris,Gasolina,2017,Ford,Explorer,350000,98239
Sedán,Blanco,Gasolina,2020,Ford,Figo,189000,73000
Sedán,Azul,Gasolina,2021,Toyota,Prius,318000,72300
Hatchback (5 Puertas),Gris,Gasolina,2014,Volkswagen,Polo Comfortline,154500,158700
Hatchback (5 Puertas),Gris,Gasolina,2014,Mazda,3,239900,75250
Mini van (MPV),Blanco,Gasolina,2010,Honda,Odyssey,210000,125432
Pickup,Plata,Gasolina,2020,Renault,Oroch,279850,57000
Camioneta SUV,Naranja,Gasolina,2018,Nissan,Kicks,268000,61739
Pickup,Negro,Gasolina,2019,Ford,Lobo Platinium,789000,84095
Hatchback (5 Puertas),Blanco,Gasolina,2020,Chevrolet,Spark,215000,40000
Sedán,Blanco,Gasolina,2013,BMW,328i sportline,265000,80000
Camioneta SUV,Gris,Gasolina,2024,Volkswagen,T-CROSS Trendline,358000,13824
Camioneta SUV,Blanco,Gasolina,2021,Jeep,Grand Cherokee,655000,95498
Sedán,Blanco,Gasolina,2021,Nissan,Versa,260000,62200
Sedán,Acua,Gasolina,2020,Toyota,Prius,349000,66000
Camioneta SUV,Blanco,Gasolina,2014,Toyota,Highlander,329000,365000
Camioneta SUV,Blanco,Gasolina,2022,BMW,X1 sDRIVE,539000,46481
Camioneta SUV,Blanco,Gasolina,2019,Jeep,Compass,320000,80035
Camioneta SUV,Naranja,Gasolina,2022,Suzuki,Ertiga,335000,25000
Van,Blanco,Gasolina,2017,Nissan,Urvan,419850,55000
Sedán,Azul,Gasolina,2018,Toyota,Corolla,248000,47214
Sedán,Blanco,Gasolina,2022,Honda,Civic,415000,74000
Camioneta SUV,Blanco,Gasolina,2016,Mitsubishi,Montero,323000,123000
Sedán,Negro,Gasolina,2019,Honda,Civic,388000,71700
Camioneta SUV,Gris,Gasolina,2018,Volkswagen,Tiguan,364500,93000
Pickup,Azul,Gasolina,2019,Ford,Ranger,420000,56660
Camioneta SUV,Negro,Gasolina,2017,Ford,Ecosport,267800,56000
Hatchback (3 Puertas),Blanco,Gasolina,2019,BMW,120i,469850,57000
Camioneta SUV,Blanco,Gasolina,2016,Dodge,Journey RT,255000,81000
Sedán,Blanco,Gasolina,2013,Honda,City EX,179850,89000
Camioneta SUV,Negro,Gasolina,2020,Kia,Sportage,410000,70000
Camioneta SUV,Blanco,Gasolina,2021,Ford,Explorer,820000,31000
Camioneta SUV,Blanco,Gasolina,2019,Mercedes Benz,GLC 43 AMG,880000,29000
Mini van (MPV),Blanco,Gasolina,2021,Toyota,Sienna,800000,45000
Camioneta SUV,Blanco,Gasolina,2019,Hyundai,Tucson,369500,61000
Camioneta SUV,Azul,Gasolina,2018,BMW,X1 M Sport,390000,85000
Camioneta SUV,Beige,Gasolina,2018,Hyundai,Tucson,299000,136885
Camioneta SUV,Blanco,Gasolina,2020,Buick,Envision,419000,39538
Hatchback (5 Puertas),Azul,Gasolina,2016,Seat,Ibiza Style,206000,62000
Todoterreno Ligero,Azul,Gasolina,2018,Mercedes Benz,Clase GLC,529900,28000
Coupé,Blanco,Gasolina,2023,Mazda,Mazda 3,409000,28000
Coupé,Azul,Gasolina,2020,Seat,León Cupra,449850,67000
Camioneta SUV,Gris,Gasolina,2023,Changan,CS55 Plus Premium,395000,44115
Camioneta SUV,Gris,Gasolina,2023,Mazda,CX-5,480000,28119
Camioneta SUV,Blanco,Gasolina,2016,BMW,220i,319000,100000
Hatchback (5 Puertas),Blanco,Gasolina,2016,Volkswagen,Gol,153000,79000
Coupé,Beige,Gasolina,2011,Mini,Cooper Pepper,189850,87000
Hatchback (5 Puertas),Rojo,Gasolina,2020,Nissan,March,240000,22000
Hatchback (5 Puertas),Negro,Gasolina,2019,Mini,Countryman,495000,56628
Pickup,Negro,Gasolina,2022,GMC,Sierra,978000,89000
Camioneta SUV,Blanco,Gasolina,2017,Jaguar,F-Pace,599000,20000
Hatchback (5 Puertas),Blanco,Gasolina,2023,Suzuki,Swift,299000,24804
Camioneta SUV,Blanco,Gasolina,2015,Chevrolet,Captiva,193000,99000
Camioneta SUV,Negro,Gasolina,2014,Land Rover,LR2,289000,96000
Camioneta Chasis,Blanco,Gasolina,2000,Dodge,Ram 4000,109500,190000
Camioneta SUV,Gris,Gasolina,2019,BMW,X3,549900,63000
Sedán,Plata,Gasolina,2016,BMW,528i,359000,83738
Pickup,Blanco,Gasolina,2014,Nissan,NP 300,339500,115000
Camioneta SUV,Azul,Gasolina,2021,Ford,Bronco,499000,65000
Sedán,Blanco,Gasolina,2017,Honda,Civic,315000,76000
Sedán,Blanco,Gasolina,2022,Mitsubishi,Mirage,199000,81934
Sedán,Blanco,Gasolina,2018,Nissan,Versa,185900,41000
Sedán,Blanco,Gasolina,2018,Nissan,Sentra Exclusive,248000,140000
Camioneta SUV,Blanco,Gasolina,2017,Nissan,X-Trail Exclusive,265000,95000
Camioneta SUV,Blanco,Gasolina,2022,Renault,Kwid,185000,70500
Sedán,Blanco,Gasolina,2020,Mercedes Benz,Clase E,649000,147450
Hatchback (3 Puertas),Gris,Gasolina,2022,Seat,León,578000,55000
Camioneta SUV,Blanco,Gasolina,2019,Ford,Edge ST,570000,82600
Sedán,Negro,Gasolina,2024,MG,5 Excite,279000,9800
Hatchback (5 Puertas),Blanco,Gasolina,2015,Chevrolet,Spark LTZ DOT,149500,81000
Camioneta Chasis,Blanco,Gasolina,2017,Nissan,NP300 Chasis Cabina,293000,87000
Van,Café,Gasolina,2020,Honda,Odyssey,585560,84760
Camioneta SUV,Blanco,Gasolina,2018,Honda,Pilot Touring,512000,106000
Camioneta SUV,Negro,Gasolina,2014,Land Rover,Evoque,349000,124000
Sedán,Azul,Gasolina,2017,Nissan,Sentra Exclusive,228800,46800
Camioneta SUV,Blanco,Gasolina,2019,Kia,Sorento,424900,48000
Van,Blanco,Diesel,2016,Peugeot,Manager Cargo Van,379000,88000
Camioneta SUV,Blanco,Gasolina,2020,GMC,Terrain,499000,50000
Camioneta SUV,Blanco,Gasolina,2019,Volvo,XC40,469000,127400
Camioneta SUV,Negro,Gasolina,2024,MG,ONE,460000,12000
Camioneta SUV,Amarillo,Gasolina,2016,Nissan,Juke,245000,67957
Pickup,Blanco,Gasolina,2016,Ford,F-150,438000,78500
Pickup,Blanco,Gasolina,2012,Mitsubishi,L200,229900,85000
Coupé,Negro,Gasolina,2016,Seat,Leon FR,264800,114000
Camioneta SUV,Negro,Gasolina,2020,Lincoln,Aviator,843500,54188
Sedán,Blanco,Gasolina,2020,Chevrolet,Aveo,189900,118500
Camioneta SUV,Gris,Gasolina,2015,BMW,X3,285000,97000
Van,Plata,Diesel,2017,Mercedes Benz,Sprinter,950000,260000
Camioneta SUV,Blanco,Gasolina,2018,Ford,Escape,358000,81061
Hatchback (5 Puertas),Gris,Gasolina,2022,BMW,Serie 1,740000,78320
Sedán,Blanco,Gasolina,2016,BMW,220i,269000,73000
Hatchback (3 Puertas),Azul,Gasolina,2019,Kia,Rio,219850,59000
Camioneta SUV,Blanco,Gasolina,2019,BMW,X4,739900,46000
Camioneta SUV,Blanco,Gasolina,2009,Jeep,Wrangler,340000,63240
Camioneta SUV,Blanco,Gasolina,2019,Chevrolet,Trax,292000,40000
Sedán,Blanco,Gasolina,2011,Honda,Accord,148000,88000
Utilitario,Blanco,Gasolina,2017,Nissan,Nissan Estacas,220000,147000
Pickup,Blanco,Gasolina,2020,Renault,Oroch,302900,30674
Camioneta SUV,Plata,Gasolina,2023,Renault,Kwid,195000,58886
Sedán,Negro,Gasolina,2019,Volkswagen,Jetta,319000,59079
Camioneta SUV,Verde,Gasolina,2017,Ford,Ecosport,229000,90072
Camioneta SUV,Azul,Gasolina,2018,Hyundai,Tucson,317000,78274
Camioneta SUV,Gris,Gasolina,2014,GMC,Acadia,279900,78000
Camioneta SUV,Rojo,Gasolina,2015,BMW,X4,449000,85000
Camioneta SUV,Blanco,Gasolina,2012,Audi,Q7,275000,118000
Hatchback (5 Puertas),Negro,Gasolina,2021,Kia,Rio,278000,33000
Sedán,Gris,Gasolina,2019,Nissan,Sentra,285000,93780
Sedán,Azul,Gasolina,2017,Chevrolet,Aveo,148000,83000
Sedán,Blanco,Gasolina,2015,Nissan,Altima Advance,185000,115000
Coupé,Blanco,Gasolina,2019,BMW,Serie 2,390000,68200
Camioneta SUV,Blanco,Gasolina,2013,Ford,Escape,178500,76000
Camioneta SUV,Blanco,Gasolina,2022,Ford,Escape Titanium,539000,30000
Camioneta SUV,Plata,Gasolina,2018,Kia,Sorento,389000,66000
Camioneta SUV,Blanco,Gasolina,2015,Chevrolet,Traverse,265000,87000
Pickup,Blanco,Gasolina,2017,Chevrolet,Silverado 2500,410000,97868
Camioneta SUV,Blanco,Gasolina,2023,Hyundai,Tucson,500000,14000
Pickup,Rojo,Gasolina,2019,Dodge,Ram 1500,849000,62000
Sedán,Blanco,Gasolina,2022,Chevrolet,Cavalier,239999,68000
Sedán,Blanco,Gasolina,2022,Honda,Civic,459000,59000
Sedán,Blanco,Gasolina,2012,Ford,Fusion,135000,99000
Hatchback (5 Puertas),Rojo,Gasolina,2019,Suzuki,Swift,250800,50000
Camioneta SUV,Gris,Gasolina,2020,Hyundai,Accent,213000,46000
Sedán,Negro,Gasolina,2016,Volkswagen,Jetta,365000,76408
Camioneta SUV,Gris,Gasolina,2020,Chrysler,Pacifica,585000,30000
Camioneta SUV,Blanco,Gasolina,2021,Seat,Arona,315000,53000
Sedán,Gris,Gasolina,2022,BMW,Serie 3,664000,30000
Sedán,Blanco,Gasolina,2013,Ford,Fiesta,136000,91000
Camioneta SUV,Blanco,Gasolina,2017,Buick,Encore,258000,77000
Van,Blanco,Diesel,2018,Volkswagen,Transporter,345000,150000
Camioneta SUV,Blanco,Gasolina,2018,Hyundai,Santa Fe,398200,106825
Hatchback (3 Puertas),Rojo,Gasolina,2023,Audi,A1,470900,14700
Camioneta SUV,Blanco,Gasolina,2022,BMW,X4,990000,35000
Hatchback (3 Puertas),Rojo,Gasolina,2016,Volkswagen,Beetle Sport,274900,65250
Sedán,Blanco,Gasolina,2022,Tesla,Model Y,935000,35000
Sedán,Blanco,Gasolina,2001,Mercedes Benz,Clase S,195000,100000
Hatchback (3 Puertas),Blanco,Gasolina,2016,Audi,A1,275000,78000
Sedán,Plata,Gasolina,2017,Honda,CR-V,360000,103180
Hatchback (5 Puertas),Azul,Gasolina,2016,Ford,Focus ST,343000,343000
Sedán,Rojo,Gasolina,2018,Chevrolet,Beat,139000,175237
Hatchback (5 Puertas),Gris,Gasolina,2022,Seat,Cupra,565000,38022
Sedán,Blanco,Gasolina,2021,Mazda,3,315000,39900
Sedán,Rojo,Gasolina,2021,Dodge,Attitude,198000,40000
Sedán,Blanco,Gasolina,2018,Nissan,Versa,197000,26200
Camioneta SUV,Negro,Gasolina,2019,Ford,Escape,345000,102345
Pickup,Blanco,Gasolina,2018,Volkswagen,Caddy,298500,66000
Sedán,Gris,Gasolina,2018,Kia,Forte LX,170000,136000
Camioneta SUV,Blanco,Gasolina,2017,Mazda,CX-5,280000,108000
Camioneta SUV,Plomo,Gasolina,2023,Jeep,Renegade,435000,25000
Camioneta SUV,Plata,Gasolina,2010,Ford,Edge,168500,97000
Camioneta SUV,Blanco,Gasolina,2022,Nissan,Kicks Exclusive,410000,25000
Pickup,Beige,Gasolina,2018,Ford,Lobo,779000,82000
Camioneta SUV,Plata,Gasolina,2022,Mitsubishi,Otro Modelo,270000,79044
Hatchback (5 Puertas),Blanco,Gasolina,2018,Fiat,Mobi,159900,50000
Sedán,Plata,Gasolina,2017,Kia,Forte,214500,85000
Sedán,Blanco,Gasolina,2013,Volkswagen,Jetta A6,174800,116000
Sedán,Blanco,Gasolina,2021,Volkswagen,Vento,269000,38000
Van de Carga,Blanco,Gasolina,2019,RAM,Promaster,425000,70000
Hatchback (5 Puertas),Azul,Gasolina,2016,Ford,Focus,185000,117000
Camioneta SUV,Negro,Gasolina,2021,Mercedes Benz,GLC 300,698000,48900
Coupé,Blanco,Gasolina,2015,Mercedes Benz,CLA 250 AMG,299000,97000
Sedán,Blanco,Gasolina,2011,Mazda,3 S Grand Touring,139500,138000
Sedán,Café,Gasolina,2014,Peugeot,301,139800,68000
Convertible,Gris,Gasolina,2017,Mini,Mini Convertible,349999,70000
